"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
81,18,2183.72849633258,0.275622444768526,1796.3349790789,2189.40684502923,0.269925491884307,1806.4474076258,173.674000000003
101,18,2181.00283195126,0.277794576896474,1794.62797457445,2189.74850980707,0.269813850645229,1807.98416517163,213.09
121,18,2178.72752049648,0.279566946428514,1793.5031777711,2185.93200350197,0.272630090480272,1804.71616363511,255.981
141,18,2176.78215869167,0.281033840802175,1792.69009164222,2186.57268424136,0.272256416943353,1806.17382876561,299.193000000003
161,18,2175.82799322433,0.281887789162347,1792.16197646145,2185.99923310472,0.272663529869075,1805.31740472502,345.645
181,18,2175.10911919955,0.282497489612954,1791.48811303578,2183.85751286541,0.274304553682492,1804.07395558888,382.628000000001
201,18,2174.89046599701,0.282729459274854,1791.8041280179,2183.3366973947,0.274620399949459,1803.94624992299,422.687999999998
1,20,2547.80255650552,0.0235481029606316,2183.92016457541,2488.28491148625,0.0111220346756117,2120.57959117944,4.47599999999875
21,20,2249.62462874119,0.2386749923213,1847.0914688463,2164.42891303156,0.251227206516224,1775.37353412638,45.9779999999992
41,20,2217.90333542469,0.259729815635402,1824.60666021928,2145.84718336439,0.263876177089844,1760.76739602817,89.0249999999978
61,20,2209.45344752953,0.265778253729821,1818.61010188346,2131.45807815262,0.274281736324446,1752.06301268407,130.315999999999
81,20,2205.21154778233,0.269057077916589,1816.77263294024,2128.22853719934,0.276729724658812,1750.54713840222,173.027999999998
101,20,2202.7994119659,0.270872558640941,1815.64788807465,2125.24199965744,0.278996384716719,1748.48304477373,213.391
121,20,2200.23096718448,0.272777677940477,1814.1772617724,2122.24637158386,0.281221838958851,1745.05501274915,259.043000000001
141,20,2200.57260662715,0.272615798728803,1813.79624940838,2120.75452183319,0.282346887452589,1744.35955481241,298.588
161,20,2199.95586440058,0.273098203193673,1813.50624672947,2117.35603459221,0.284975809447255,1741.19250413843,341.148000000001
181,20,2199.88284146425,0.273269210549977,1814.05650891554,2117.67499558142,0.284825531389787,1741.9862619576,383.137999999999
201,20,2198.48891295501,0.274275890830703,1812.93623749303,2116.64749481376,0.285623977284476,1740.55639764982,427.579999999998
1,22,2543.08225018405,0.0166265522342883,2171.18550291561,2591.31297109264,0.0108488074995769,2221.25973722708,4.67499999999927
21,22,2215.02400022729,0.248541209042331,1812.50015127211,2224.94512928876,0.264728892660092,1832.340213652,45.7259999999987
41,22,2189.59839322043,0.266335525205822,1795.82435247179,2214.34031781968,0.272954297088079,1829.03588209836,88.8509999999987
61,22,2183.40827519257,0.271321179478346,1792.91328582955,2205.48391139146,0.280150138959507,1823.00250888238,130.308000000001
81,22,2180.30339828046,0.273932448182452,1791.62275388072,2196.03784626557,0.28730028758634,1815.394674459,171.362000000001
101,22,2177.72171788725,0.276099744223436,1790.89489507761,2195.12159329079,0.288376637132406,1813.01844671159,210.508000000002
121,22,2177.23353822704,0.276597237241934,1790.53125672298,2193.67804410935,0.289751864906589,1812.06998868743,257.707999999999
141,22,2175.73202797859,0.277849230279318,1789.27717558098,2193.79770964769,0.290069825657311,1812.93518818147,299.942999999999
161,22,2174.81321058704,0.278679455242316,1789.49593744207,2194.32617090304,0.289904840072513,1815.12663643735,340.802
181,22,2174.06295671045,0.279272794204418,1788.90544757823,2194.72804408491,0.289760478173524,1815.99449439461,385.365000000002
201,22,2173.77690666116,0.279558132246366,1788.50583195828,2193.45760616673,0.290802849831615,1815.03122604432,428.885000000002
1,24,2549.74431165178,0.0152089526409355,2178.79274702797,2576.01154253764,0.00765318185920017,2223.24581509032,4.40399999999863
21,24,2231.65721957832,0.238973572632895,1832.17508114662,2246.10227024177,0.245805648664408,1831.89783824641,46.898000000001
41,24,2204.77372504123,0.258058418516183,1812.85491015004,2214.37705061094,0.268222424365943,1815.82295780101,88.494999999999
61,24,2196.15775814065,0.264832798396201,1808.16532000809,2214.53453440885,0.268755322014047,1815.00561540463,133.006000000001
81,24,2190.89623130414,0.269064391890973,1805.06941694273,2211.96583121685,0.270945687553815,1814.03773858515,173.860000000001
101,24,2189.06396727464,0.270539822173678,1803.8962787072,2210.51872405328,0.272340462197042,1815.37887474462,219.244999999999
121,24,2187.98839345314,0.271561357959476,1802.77928390803,2210.63795834014,0.272497444288368,1815.45908959727,260.572
141,24,2186.56532835638,0.272747487870028,1802.04506722538,2211.92375028596,0.271535231379318,1817.36329618372,302.781999999999
161,24,2185.59260656033,0.273556231882549,1801.09289583763,2212.41310248384,0.271188321569674,1818.72045548654,343.888999999999
181,24,2185.09717760387,0.274040032685283,1801.36363924256,2211.91622300707,0.271584219036045,1818.74577918092,383.714
201,24,2184.55829925667,0.27452621503252,1801.25565953451,2211.94122781816,0.271472771517786,1818.191625997,435.667000000001
