"horas","ntrees","acuracia_total_treino","acuracia_total_teste","acuracia_nevoa","acuracia_visivel","sens_nevoa","sens_visivel","spec_nevoa","spec_visivel","ppv_nevoa","ppv_visivel","npv_nevoa","npv_visivel","bal_acc_nevoa","bal_acc_visivel","runtime_sec"
7,101,0.995917230418921,0.996359999344144,0,0,0,0.999983543970511,0.999983543970511,0,0,0.996376336328458,0.996376336328458,0,0.499991771985255,0.499991771985255,80.259
7,121,0.995933625205158,0.9965075669383,0.0497737556561086,0.0497737556561086,0.0497737556561086,0.999950631911532,0.999950631911532,0.0497737556561086,0.785714285714469,0.996555965559656,0.996555965559656,0.785714285714469,0.52486219378382,0.52486219378382,101.107
7,141,0.995933625205158,0.9965075669383,0.0497737556561086,0.0497737556561086,0.0497737556561086,0.999950631911532,0.999950631911532,0.0497737556561086,0.785714285714469,0.996555965559656,0.996555965559656,0.785714285714469,0.52486219378382,0.52486219378382,116.921
7,161,0.995933625205158,0.9965075669383,0.0542986425339367,0.0542986425339367,0.0542986425339367,0.999934175882043,0.999934175882043,0.0542986425339367,0.749999999999888,0.996572253292441,0.996572253292441,0.749999999999888,0.52711640920799,0.52711640920799,133.493
7,181,0.995917230418921,0.996376395743495,0,0,0,1,1,0,NA,0.996376395743495,0.996376395743495,NA,0.5,0.5,142.266
7,201,0.995917230418921,0.996376395743495,0,0,0,1,1,0,NA,0.996376395743495,0.996376395743495,NA,0.5,0.5,156.574
10,1,0.991866582260992,0.991817525908435,0.0361990950226244,0.0361990950226244,0.0361990950226244,0.995293188288926,0.995293188288926,0.0361990950226244,0.0272108843537418,0.996490360850222,0.996490360850222,0.0272108843537418,0.515746141655775,0.515746141655775,4.13799999999992
10,21,0.995916895672451,0.996408894136167,0.00904977375565611,0.00904977375565611,0.00904977375565611,1,1,0.00904977375565611,1,0.996408776360237,0.996408776360237,1,0.504524886877828,0.504524886877828,20.4830000000002
10,41,0.995916895672451,0.996392496392496,0.00452488687782805,0.00452488687782805,0.00452488687782805,1,1,0.00452488687782805,1,0.996392437236607,0.996392437236607,1,0.502262443438914,0.502262443438914,36.8690000000001
10,61,0.995916895672451,0.996376098648826,0,0,0,1,1,0,NA,0.996376098648826,0.996376098648826,NA,0.5,0.5,53.6320000000001
10,81,0.995916895672451,0.996376098648826,0,0,0,1,1,0,NA,0.996376098648826,0.996376098648826,NA,0.5,0.5,69.5799999999999
10,101,0.995916895672451,0.996376098648826,0,0,0,1,1,0,NA,0.996376098648826,0.996376098648826,NA,0.5,0.5,85.9229999999998
10,121,0.995916895672451,0.996376098648826,0,0,0,1,1,0,NA,0.996376098648826,0.996376098648826,NA,0.5,0.5,102.3
10,141,0.995916895672451,0.996376098648826,0,0,0,1,1,0,NA,0.996376098648826,0.996376098648826,NA,0.5,0.5,118.226
10,161,0.995916895672451,0.996376098648826,0,0,0,1,1,0,NA,0.996376098648826,0.996376098648826,NA,0.5,0.5,135.503
10,181,0.995916895672451,0.996376098648826,0,0,0,1,1,0,NA,0.996376098648826,0.996376098648826,NA,0.5,0.5,149.763
10,201,0.995916895672451,0.996376098648826,0,0,0,1,1,0,NA,0.996376098648826,0.996376098648826,NA,0.5,0.5,169.529
13,1,0.993144962719612,0.992521770503633,0.0240963855421687,0.0240963855421687,0.0240963855421687,0.996492556975366,0.996492556975366,0.0240963855421687,0.0273972602739724,0.996000526679614,0.996000526679614,0.0273972602739724,0.510294471258767,0.510294471258767,4.16899999999987
13,21,0.996375684770212,0.995900093477869,0,0,0,0.99998353313134,0.99998353313134,0,0,0.995916426134873,0.995916426134873,0,0.49999176656567,0.49999176656567,18.808
13,41,0.996375684770212,0.995916493103957,0,0,0,1,1,0,NA,0.995916493103957,0.995916493103957,NA,0.5,0.5,33.3420000000001
13,61,0.996375684770212,0.995916493103957,0,0,0,1,1,0,NA,0.995916493103957,0.995916493103957,NA,0.5,0.5,48.8919999999998
13,81,0.996375684770212,0.995916493103957,0,0,0,1,1,0,NA,0.995916493103957,0.995916493103957,NA,0.5,0.5,63.0540000000001
13,101,0.996375684770212,0.995916493103957,0,0,0,1,1,0,NA,0.995916493103957,0.995916493103957,NA,0.5,0.5,77.8789999999999
13,121,0.996375684770212,0.995916493103957,0,0,0,1,1,0,NA,0.995916493103957,0.995916493103957,NA,0.5,0.5,93.4720000000002
13,141,0.996375684770212,0.995916493103957,0,0,0,1,1,0,NA,0.995916493103957,0.995916493103957,NA,0.5,0.5,108.756
