data,hora,valor
20240410,0800,298.689
20240410,0900,298.629
20240410,1000,298.568
20240410,1100,298.632
20240410,1200,298.781
20240410,1300,298.948
20240410,1400,299.209
20240410,1500,299.624
20240410,1600,299.966
20240410,1700,300.045
20240410,1800,299.955
20240410,1900,299.803
20240410,2000,299.79
20240410,2100,299.746
20240410,2200,299.72
20240410,2300,299.66
20240411,0000,299.605
20240411,0100,299.552
20240411,0200,299.502
20240411,0300,299.452
20240411,0400,299.4
20240411,0500,299.35
20240411,0600,299.297
20240411,0700,299.242
20240411,0800,299.186
20240411,0900,299.129
20240411,1000,299.106
20240411,1100,299.182
20240411,1200,299.317
20240411,1300,299.55
20240411,1400,300.018
20240411,1500,300.046
20240411,1600,299.913
20240411,1700,299.763
20240411,1800,299.708
20240411,1900,299.656
20240411,2000,299.621
20240411,2100,299.566
20240411,2200,299.557
20240411,2300,299.506
20240412,0000,299.454
20240412,0100,299.408
20240412,0200,299.361
20240412,0300,299.316
20240412,0400,299.27
20240412,0500,299.22
20240412,0600,299.171
20240412,0700,299.123
20240412,0800,299.075
20240412,0900,299.03
20240412,1000,299.007
20240412,1100,298.994
20240412,1200,299.088
20240412,1300,299.169
20240412,1400,299.299
20240412,1500,299.412
20240412,1600,299.479
20240412,1700,299.466
20240412,1800,299.376
20240412,1900,299.291
20240412,2000,299.253
20240412,2100,299.203
20240412,2200,299.173
20240412,2300,299.121
20240413,0000,299.069
20240413,0100,299.018
20240413,0200,298.97
20240413,0300,298.923
20240413,0400,298.875
20240413,0500,298.829
20240413,0600,298.782
20240413,0700,298.737
20240413,0800,298.69
20240413,0900,298.643
20240413,1000,298.616
20240413,1100,298.673
20240413,1200,298.78
20240413,1300,298.898
20240413,1400,299.007
20240413,1500,299.133
20240413,1600,299.191
20240413,1700,299.203
20240413,1800,299.192
20240413,1900,299.145
20240413,2000,299.124
20240413,2100,299.073
20240413,2200,299.023
20240413,2300,298.966
20240414,0000,298.909
20240414,0100,298.855
20240414,0200,298.803
20240414,0300,298.753
20240414,0400,298.702
20240414,0500,298.649
20240414,0600,298.594
20240414,0700,298.538
20240414,0800,298.48
20240414,0900,298.421
20240414,1000,298.384
20240414,1100,298.395
20240414,1200,298.459
20240414,1300,298.545
20240414,1400,298.627
20240414,1500,298.697
20240414,1600,298.739
20240414,1700,298.76
20240414,1800,298.741
20240414,1900,298.727
20240414,2000,298.699
20240414,2100,298.653
20240414,2200,298.592
20240414,2300,298.545
20240415,0000,298.498
20240415,0100,298.45
20240415,0200,298.409
20240415,0300,298.367
20240415,0400,298.328
20240415,0500,298.294
20240415,0600,298.261
20240415,0700,298.227
20240415,0800,298.194
20240415,0900,298.161
20240415,1000,298.139
20240415,1100,298.145
20240415,1200,298.25
20240415,1300,298.378
20240415,1400,298.538
20240415,1500,298.684
20240415,1600,298.79
20240415,1700,298.832
20240415,1800,298.819
20240415,1900,298.79
20240415,2000,298.779
20240415,2100,298.742
20240415,2200,298.678
20240415,2300,298.636
20240416,0000,298.598
20240416,0100,298.561
20240416,0200,298.524
20240416,0300,298.487
20240416,0400,298.448
20240416,0500,298.408
20240416,0600,298.367
20240416,0700,298.322
20240416,0800,298.275
20240416,0900,298.228
20240416,1000,298.173
20240416,1100,298.218
20240416,1200,298.314
20240416,1300,298.432
20240416,1400,298.562
20240416,1500,298.696
20240416,1600,298.807
20240416,1700,298.878
20240416,1800,298.887
20240416,1900,298.831
20240416,2000,298.817
20240416,2100,298.781
20240416,2200,298.734
20240416,2300,298.688
20240417,0000,298.645
20240417,0100,298.6
20240417,0200,298.552
20240417,0300,298.5
20240417,0400,298.449
20240417,0500,298.394
20240417,0600,298.338
20240417,0700,298.282
20240417,0800,298.227
20240417,0900,298.17
20240417,1000,298.125
20240417,1100,298.179
20240417,1200,298.29
20240417,1300,298.42
20240417,1400,298.575
20240417,1500,298.764
20240417,1600,299.01
20240417,1700,299.247
20240417,1800,299.371
20240417,1900,299.425
20240417,2000,299.438
20240417,2100,299.422
20240417,2200,299.503
20240417,2300,299.478
20240418,0000,299.452
20240418,0100,299.424
20240418,0200,299.391
20240418,0300,299.355
20240418,0400,299.317
20240418,0500,299.277
20240418,0600,299.232
20240418,0700,299.188
20240418,0800,299.145
20240418,0900,299.1
20240418,1000,299.038
20240418,1100,298.987
20240418,1200,298.925
20240418,1300,298.859
20240418,1400,298.811
20240418,1500,298.789
20240418,1600,298.767
20240418,1700,298.73
20240418,1800,298.709
20240418,1900,298.666
20240418,2000,298.594
20240418,2100,298.512
20240418,2200,298.423
20240418,2300,298.35
20240419,0000,298.281
20240419,0100,298.217
20240419,0200,298.154
20240419,0300,298.096
20240419,0400,298.04
20240419,0500,297.985
20240419,0600,297.93
20240419,0700,297.874
20240419,0800,297.817
20240419,0900,297.759
20240419,1000,297.673
20240419,1100,297.644
20240419,1200,297.636
20240419,1300,297.641
20240419,1400,297.656
20240419,1500,297.673
20240419,1600,297.66
20240419,1700,297.651
20240419,1800,297.633
20240419,1900,297.609
20240419,2000,297.554
20240419,2100,297.479
20240419,2200,297.397
20240419,2300,297.333
20240420,0000,297.267
20240420,0100,297.198
20240420,0200,297.132
20240420,0300,297.066
20240420,0400,297.001
20240420,0500,296.935
20240420,0600,296.866
20240420,0700,296.802
20240420,0800,296.734
20240420,0900,296.666
20240420,1000,296.496
20240420,1100,296.476
20240420,1200,296.562
20240420,1300,296.731
20240420,1400,296.879
20240420,1500,297.006
20240420,1600,297.135
20240420,1700,297.219
20240420,1800,297.259
20240420,1900,297.269
20240420,2000,297.236
20240420,2100,297.177
20240420,2200,297.091
20240420,2300,297.024
20240421,0000,296.958
20240421,0100,296.892
20240421,0200,296.827
20240421,0300,296.765
20240421,0400,296.703
20240421,0500,296.641
20240421,0600,296.579
20240421,0700,296.513
20240421,0800,296.443
20240421,0900,296.37
20240421,1000,296.311
20240421,1100,296.304
20240421,1200,296.391
20240421,1300,296.509
20240421,1400,296.659
20240421,1500,296.814
20240421,1600,296.935
20240421,1700,297.009
20240421,1800,297.036
20240421,1900,297.044
20240421,2000,297.017
20240421,2100,296.955
20240421,2200,296.904
20240421,2300,296.84
20240422,0000,296.777
20240422,0100,296.716
20240422,0200,296.651
20240422,0300,296.585
20240422,0400,296.516
20240422,0500,296.444
20240422,0600,296.37
20240422,0700,296.292
20240422,0800,296.215
20240422,0900,296.136
20240422,1000,296.093
20240422,1100,296.089
20240422,1200,296.186
20240422,1300,296.329
20240422,1400,296.494
20240422,1500,296.682
20240422,1600,296.907
20240422,1700,297.283
20240422,1800,297.517
20240422,1900,297.522
20240422,2000,297.516
20240422,2100,297.467
20240422,2200,297.409
20240422,2300,297.354
20240423,0000,297.299
20240423,0100,297.246
20240423,0200,297.192
20240423,0300,297.135
20240423,0400,297.076
20240423,0500,297.013
20240423,0600,296.946
20240423,0700,296.875
20240423,0800,296.801
20240423,0900,296.726
20240423,1000,296.722
20240423,1100,296.728
20240423,1200,296.782
20240423,1300,296.88
20240423,1400,297.018
20240423,1500,297.158
20240423,1600,297.297
20240423,1700,297.476
20240423,1800,297.779
20240423,1900,297.996
20240423,2000,298
20240423,2100,297.965
20240423,2200,297.887
20240423,2300,297.844
20240424,0000,297.797
20240424,0100,297.745
20240424,0200,297.689
20240424,0300,297.63
